Size,Type,Time
500,random,75
600,random,89
700,random,105
800,random,120
900,random,141
1000,random,152
1100,random,168
1200,random,176
1300,random,192
1400,random,208
1500,random,151
1600,random,163
1700,random,171
1800,random,180
1900,random,208
2000,random,215
2100,random,234
2200,random,246
2300,random,256
2400,random,267
2500,random,276
2600,random,280
2700,random,297
2800,random,299
2900,random,324
3000,random,328
3100,random,332
3200,random,334
3300,random,360
3400,random,372
3500,random,375
3600,random,390
3700,random,406
3800,random,413
3900,random,433
4000,random,467
4100,random,494
4200,random,502
4300,random,527
4400,random,530
4500,random,540
4600,random,567
4700,random,559
4800,random,577
4900,random,584
5000,random,590
5100,random,606
5200,random,618
5300,random,638
5400,random,636
5500,random,655
5600,random,656
5700,random,666
5800,random,685
5900,random,693
6000,random,710
6100,random,719
6200,random,739
6300,random,735
6400,random,758
6500,random,758
6600,random,778
6700,random,777
6800,random,798
6900,random,807
7000,random,823
7100,random,830
7200,random,847
7300,random,871
7400,random,858
7500,random,881
7600,random,875
7700,random,898
7800,random,934
7900,random,957
8000,random,997
8100,random,1032
8200,random,1047
8300,random,1075
8400,random,1100
8500,random,1092
8600,random,1106
8700,random,1119
8800,random,1138
8900,random,1148
9000,random,1166
9100,random,1172
9200,random,1172
9300,random,1190
9400,random,1201
9500,random,1220
9600,random,1214
9700,random,1260
9800,random,1266
9900,random,1265
10000,random,1276
500,reversed,31
600,reversed,40
700,reversed,46
800,reversed,46
900,reversed,50
1000,reversed,63
1100,reversed,72
1200,reversed,81
1300,reversed,83
1400,reversed,97
1500,reversed,98
1600,reversed,106
1700,reversed,188
1800,reversed,110
1900,reversed,120
2000,reversed,129
2100,reversed,149
2200,reversed,151
2300,reversed,166
2400,reversed,163
2500,reversed,201
2600,reversed,171
2700,reversed,198
2800,reversed,195
2900,reversed,200
3000,reversed,217
3100,reversed,216
3200,reversed,221
3300,reversed,225
3400,reversed,235
3500,reversed,248
3600,reversed,261
3700,reversed,292
3800,reversed,271
3900,reversed,290
4000,reversed,294
4100,reversed,289
4200,reversed,320
4300,reversed,317
4400,reversed,319
4500,reversed,335
4600,reversed,336
4700,reversed,336
4800,reversed,357
4900,reversed,360
5000,reversed,373
5100,reversed,365
5200,reversed,380
5300,reversed,378
5400,reversed,403
5500,reversed,400
5600,reversed,413
5700,reversed,417
5800,reversed,418
5900,reversed,433
6000,reversed,440
6100,reversed,455
6200,reversed,451
6300,reversed,465
6400,reversed,493
6500,reversed,485
6600,reversed,485
6700,reversed,516
6800,reversed,513
6900,reversed,526
7000,reversed,544
7100,reversed,530
7200,reversed,550
7300,reversed,567
7400,reversed,564
7500,reversed,582
7600,reversed,572
7700,reversed,585
7800,reversed,597
7900,reversed,602
8000,reversed,602
8100,reversed,641
8200,reversed,627
8300,reversed,645
8400,reversed,655
8500,reversed,653
8600,reversed,672
8700,reversed,672
8800,reversed,697
8900,reversed,687
9000,reversed,689
9100,reversed,689
9200,reversed,694
9300,reversed,705
9400,reversed,719
9500,reversed,724
9600,reversed,748
9700,reversed,729
9800,reversed,770
9900,reversed,769
10000,reversed,777
500,nearly_sorted,22
600,nearly_sorted,28
700,nearly_sorted,36
800,nearly_sorted,33
900,nearly_sorted,38
1000,nearly_sorted,47
1100,nearly_sorted,56
1200,nearly_sorted,61
1300,nearly_sorted,72
1400,nearly_sorted,69
1500,nearly_sorted,70
1600,nearly_sorted,87
1700,nearly_sorted,83
1800,nearly_sorted,83
1900,nearly_sorted,89
2000,nearly_sorted,105
2100,nearly_sorted,119
2200,nearly_sorted,128
2300,nearly_sorted,133
2400,nearly_sorted,131
2500,nearly_sorted,139
2600,nearly_sorted,146
2700,nearly_sorted,158
2800,nearly_sorted,149
2900,nearly_sorted,157
3000,nearly_sorted,162
3100,nearly_sorted,169
3200,nearly_sorted,163
3300,nearly_sorted,176
3400,nearly_sorted,196
3500,nearly_sorted,204
3600,nearly_sorted,182
3700,nearly_sorted,192
3800,nearly_sorted,191
3900,nearly_sorted,220
4000,nearly_sorted,230
4100,nearly_sorted,268
4200,nearly_sorted,257
4300,nearly_sorted,259
4400,nearly_sorted,277
4500,nearly_sorted,276
4600,nearly_sorted,289
4700,nearly_sorted,287
4800,nearly_sorted,292
4900,nearly_sorted,300
5000,nearly_sorted,309
5100,nearly_sorted,316
5200,nearly_sorted,314
5300,nearly_sorted,326
5400,nearly_sorted,329
5500,nearly_sorted,330
5600,nearly_sorted,329
5700,nearly_sorted,335
5800,nearly_sorted,342
5900,nearly_sorted,346
6000,nearly_sorted,352
6100,nearly_sorted,353
6200,nearly_sorted,356
6300,nearly_sorted,375
6400,nearly_sorted,368
6500,nearly_sorted,372
6600,nearly_sorted,381
6700,nearly_sorted,380
6800,nearly_sorted,389
6900,nearly_sorted,387
7000,nearly_sorted,410
7100,nearly_sorted,401
7200,nearly_sorted,407
7300,nearly_sorted,404
7400,nearly_sorted,412
7500,nearly_sorted,421
7600,nearly_sorted,428
7700,nearly_sorted,441
7800,nearly_sorted,465
7900,nearly_sorted,481
8000,nearly_sorted,521
8100,nearly_sorted,524
8200,nearly_sorted,561
8300,nearly_sorted,565
8400,nearly_sorted,562
8500,nearly_sorted,571
8600,nearly_sorted,572
8700,nearly_sorted,592
8800,nearly_sorted,575
8900,nearly_sorted,584
9000,nearly_sorted,591
9100,nearly_sorted,598
9200,nearly_sorted,607
9300,nearly_sorted,603
9400,nearly_sorted,605
9500,nearly_sorted,618
9600,nearly_sorted,621
9700,nearly_sorted,632
9800,nearly_sorted,640
9900,nearly_sorted,647
10000,nearly_sorted,641
