Size,Type,Time
500,random,169
600,random,163
700,random,191
800,random,170
900,random,193
1000,random,208
1100,random,234
1200,random,256
1300,random,281
1400,random,300
1500,random,337
1600,random,347
1700,random,370
1800,random,393
1900,random,419
2000,random,435
2100,random,463
2200,random,491
2300,random,509
2400,random,543
2500,random,557
2600,random,578
2700,random,596
2800,random,629
2900,random,649
3000,random,679
3100,random,693
3200,random,710
3300,random,749
3400,random,777
3500,random,795
3600,random,824
3700,random,840
3800,random,857
3900,random,886
4000,random,903
4100,random,944
4200,random,957
4300,random,1019
4400,random,1024
4500,random,1046
4600,random,1063
4700,random,1089
4800,random,1112
4900,random,1136
5000,random,1159
5100,random,1183
5200,random,1199
5300,random,1226
5400,random,1253
5500,random,1292
5600,random,1298
5700,random,1334
5800,random,1346
5900,random,1393
6000,random,1398
6100,random,1422
6200,random,1474
6300,random,1476
6400,random,1497
6500,random,1535
6600,random,1556
6700,random,1584
6800,random,1605
6900,random,1630
7000,random,1667
7100,random,1706
7200,random,1726
7300,random,1733
7400,random,1750
7500,random,1781
7600,random,1799
7700,random,1829
7800,random,1866
7900,random,1871
8000,random,1900
8100,random,1931
8200,random,1954
8300,random,1981
8400,random,1994
8500,random,2031
8600,random,2055
8700,random,2079
8800,random,2120
8900,random,2151
9000,random,2184
9100,random,2192
9200,random,2224
9300,random,2241
9400,random,2286
9500,random,2290
9600,random,2336
9700,random,2352
9800,random,2371
9900,random,2396
10000,random,2395
500,reversed,80
600,reversed,98
700,reversed,114
800,reversed,130
900,reversed,149
1000,reversed,163
1100,reversed,190
1200,reversed,205
1300,reversed,215
1400,reversed,236
1500,reversed,253
1600,reversed,269
1700,reversed,345
1800,reversed,308
1900,reversed,327
2000,reversed,345
2100,reversed,357
2200,reversed,376
2300,reversed,399
2400,reversed,414
2500,reversed,424
2600,reversed,448
2700,reversed,458
2800,reversed,477
2900,reversed,491
3000,reversed,506
3100,reversed,542
3200,reversed,555
3300,reversed,563
3400,reversed,588
3500,reversed,602
3600,reversed,647
3700,reversed,641
3800,reversed,657
3900,reversed,724
4000,reversed,684
4100,reversed,716
4200,reversed,729
4300,reversed,773
4400,reversed,781
4500,reversed,797
4600,reversed,816
4700,reversed,838
4800,reversed,857
4900,reversed,867
5000,reversed,884
5100,reversed,888
5200,reversed,914
5300,reversed,941
5400,reversed,949
5500,reversed,973
5600,reversed,986
5700,reversed,1012
5800,reversed,1022
5900,reversed,1046
6000,reversed,1062
6100,reversed,1074
6200,reversed,1096
6300,reversed,1121
6400,reversed,1145
6500,reversed,1183
6600,reversed,1183
6700,reversed,1209
6800,reversed,1200
6900,reversed,1221
7000,reversed,1251
7100,reversed,1259
7200,reversed,1286
7300,reversed,1315
7400,reversed,1317
7500,reversed,1340
7600,reversed,1364
7700,reversed,1384
7800,reversed,1398
7900,reversed,1417
8000,reversed,1431
8100,reversed,1455
8200,reversed,1458
8300,reversed,1498
8400,reversed,1518
8500,reversed,1521
8600,reversed,1536
8700,reversed,1575
8800,reversed,1585
8900,reversed,1641
9000,reversed,1623
9100,reversed,1666
9200,reversed,1686
9300,reversed,1708
9400,reversed,1707
9500,reversed,1722
9600,reversed,1752
9700,reversed,1807
9800,reversed,1785
9900,reversed,1800
10000,reversed,1814
500,nearly_sorted,81
600,nearly_sorted,99
700,nearly_sorted,115
800,nearly_sorted,131
900,nearly_sorted,157
1000,nearly_sorted,167
1100,nearly_sorted,187
1200,nearly_sorted,206
1300,nearly_sorted,224
1400,nearly_sorted,237
1500,nearly_sorted,253
1600,nearly_sorted,277
1700,nearly_sorted,292
1800,nearly_sorted,314
1900,nearly_sorted,329
2000,nearly_sorted,342
2100,nearly_sorted,358
2200,nearly_sorted,379
2300,nearly_sorted,416
2400,nearly_sorted,418
2500,nearly_sorted,429
2600,nearly_sorted,455
2700,nearly_sorted,465
2800,nearly_sorted,494
2900,nearly_sorted,511
3000,nearly_sorted,522
3100,nearly_sorted,533
3200,nearly_sorted,561
3300,nearly_sorted,575
3400,nearly_sorted,595
3500,nearly_sorted,621
3600,nearly_sorted,631
3700,nearly_sorted,651
3800,nearly_sorted,662
3900,nearly_sorted,691
4000,nearly_sorted,700
4100,nearly_sorted,721
4200,nearly_sorted,749
4300,nearly_sorted,782
4400,nearly_sorted,774
4500,nearly_sorted,802
4600,nearly_sorted,820
4700,nearly_sorted,850
4800,nearly_sorted,857
4900,nearly_sorted,884
5000,nearly_sorted,894
5100,nearly_sorted,913
5200,nearly_sorted,932
5300,nearly_sorted,945
5400,nearly_sorted,982
5500,nearly_sorted,985
5600,nearly_sorted,1013
5700,nearly_sorted,1032
5800,nearly_sorted,1039
5900,nearly_sorted,1059
6000,nearly_sorted,1079
6100,nearly_sorted,1100
6200,nearly_sorted,1115
6300,nearly_sorted,1144
6400,nearly_sorted,1163
6500,nearly_sorted,1186
6600,nearly_sorted,1187
6700,nearly_sorted,1191
6800,nearly_sorted,1219
6900,nearly_sorted,1241
7000,nearly_sorted,1253
7100,nearly_sorted,1272
7200,nearly_sorted,1294
7300,nearly_sorted,1312
7400,nearly_sorted,1329
7500,nearly_sorted,1346
7600,nearly_sorted,1374
7700,nearly_sorted,1385
7800,nearly_sorted,1409
7900,nearly_sorted,1420
8000,nearly_sorted,1440
8100,nearly_sorted,1482
8200,nearly_sorted,1494
8300,nearly_sorted,1509
8400,nearly_sorted,1557
8500,nearly_sorted,1574
8600,nearly_sorted,1587
8700,nearly_sorted,1604
8800,nearly_sorted,1628
8900,nearly_sorted,1650
9000,nearly_sorted,1672
9100,nearly_sorted,1690
9200,nearly_sorted,1687
9300,nearly_sorted,1732
9400,nearly_sorted,1736
9500,nearly_sorted,1756
9600,nearly_sorted,1780
9700,nearly_sorted,1796
9800,nearly_sorted,1814
9900,nearly_sorted,1823
10000,nearly_sorted,1846
