N,ApproxArea,RelativeError
100,0.9,0.0471322
600,0.87,0.0788945
1100,1.06364,0.126116
1600,1.04625,0.107709
2100,0.951429,0.00731737
2600,0.889615,0.0581268
3100,0.850645,0.0993863
3600,0.925,0.0206637
4100,0.976829,0.0342102
4600,0.933261,0.0119175
5100,0.967059,0.0238658
5600,0.985179,0.0430499
6100,0.964918,0.0215992
6600,0.925909,0.0197012
7100,0.93169,0.0135805
7600,1.00895,0.0682149
8100,0.938889,0.00595891
8600,0.940814,0.00392077
9100,0.91978,0.0261901
9600,0.975938,0.033266
10100,0.967723,0.0245687
10600,0.995943,0.0544471
11100,0.954324,0.0103832
11600,1.01172,0.0711548
12100,0.976612,0.0339797
12600,0.964286,0.0209298
13100,0.940534,0.00421679
13600,0.921838,0.0240112
14100,0.907021,0.0396985
14600,0.950548,0.00638502
15100,0.966755,0.0235441
15600,0.947308,0.00295443
16100,0.959255,0.0156032
16600,0.92006,0.0258936
17100,0.920526,0.0254001
17600,0.94858,0.00430099
18100,0.920387,0.0255479
18600,0.912097,0.0343249
19100,0.924974,0.0206914
19600,0.960153,0.0165544
20100,0.959104,0.0154442
20600,0.943689,0.000876496
21100,0.952038,0.00796251
21600,0.955833,0.0119809
22100,0.924027,0.0216937
22600,0.957743,0.0140031
23100,0.944026,0.000520067
23600,0.949958,0.00576002
24100,0.952282,0.0082211
24600,0.956707,0.0129062
25100,0.939084,0.0057527
25600,0.920039,0.025916
26100,0.952069,0.00799539
26600,0.93891,0.0059368
27100,0.922583,0.0232226
27600,0.930326,0.0150247
28100,0.97879,0.0362861
28600,0.944371,0.000155166
29100,0.968041,0.0249059
29600,0.963547,0.020148
30100,0.931993,0.0132595
30600,0.956471,0.0126556
31100,0.943119,0.00148035
31600,0.950981,0.00684352
32100,0.95271,0.00867437
32600,0.945276,0.000803466
33100,0.954381,0.0104429
33600,0.942857,0.00175756
34100,0.947243,0.00288636
34600,0.946561,0.00216355
35100,0.943846,0.00071045
35600,0.956882,0.0130912
36100,0.92892,0.0165137
36600,0.938361,0.00651818
37100,0.938329,0.00655186
37600,0.940213,0.00455727
38100,0.945827,0.00138651
38600,0.927047,0.0184968
39100,0.933146,0.0120394
39600,0.9375,0.00742939
40100,0.957007,0.013224
40600,0.964064,0.0206951
41100,0.937883,0.00702367
41600,0.926178,0.0194166
42100,0.959644,0.0160151
42600,0.943099,0.00150193
43100,0.936961,0.00800052
43600,0.951606,0.0075047
44100,0.958776,0.0150959
44600,0.938543,0.00632554
45100,0.945698,0.00125065
45600,0.953684,0.00970551
46100,0.930065,0.0153011
46600,0.939013,0.00582764
47100,0.943758,0.000803822
47600,0.939328,0.00549429
48100,0.95632,0.0124963
48600,0.919815,0.0261534
49100,0.934827,0.0102595
49600,0.944637,0.000126955
50100,0.93988,0.00490933
50600,0.965277,0.0219789
51100,0.976614,0.0339828
51600,0.944302,0.000227482
52100,0.930403,0.0149432
52600,0.94346,0.00111921
53100,0.971186,0.0282359
53600,0.944328,0.00019992
54100,0.933771,0.0113777
54600,0.947473,0.00312894
55100,0.951452,0.00734208
55600,0.95018,0.00599531
56100,0.950695,0.00654091
56600,0.948498,0.0042149
57100,0.937356,0.00758236
57600,0.931875,0.0133848
58100,0.952823,0.00879342
58600,0.939932,0.0048548
59100,0.932893,0.0123066
59600,0.934128,0.011
60100,0.932346,0.0128861
60600,0.93104,0.0142693
61100,0.958331,0.0146248
61600,0.933166,0.0120184
62100,0.921449,0.024423
62600,0.949313,0.00507763
63100,0.953914,0.00994925
63600,0.937358,0.00757921
64100,0.925554,0.0200773
64600,0.958375,0.0146714
65100,0.939124,0.00570954
65600,0.947881,0.00356151
66100,0.945477,0.00101572
66600,0.942838,0.001778
67100,0.943055,0.00154793
67600,0.94034,0.00442231
68100,0.950749,0.00659778
68600,0.944082,0.000461139
69100,0.941809,0.0028673
69600,0.951595,0.0074934
70100,0.942496,0.00213946
70600,0.945892,0.00145595
71100,0.942532,0.00210217
71600,0.938212,0.00667526
72100,0.944313,0.0002157
72600,0.957645,0.0138986
73100,0.948386,0.00409584
73600,0.933872,0.0112702
74100,0.934858,0.0102263
74600,0.943432,0.00114932
75100,0.952011,0.00793365
75600,0.960952,0.0174006
76100,0.95251,0.00846217
76600,0.935718,0.00931605
77100,0.945759,0.0013145
77600,0.94268,0.00194467
78100,0.941831,0.00284399
78600,0.945115,0.000632406
79100,0.944943,0.000450944
79600,0.927814,0.0176843
80100,0.94573,0.00128441
80600,0.946898,0.00252095
81100,0.930074,0.0152916
81600,0.951838,0.0077511
82100,0.94648,0.00207801
82600,0.945327,0.000857253
83100,0.955126,0.0112324
83600,0.951675,0.0075779
84100,0.945268,0.00079443
84600,0.949468,0.00524172
85100,0.953196,0.00918888
85600,0.94153,0.00316226
86100,0.942439,0.00220024
86600,0.94261,0.00201954
87100,0.921699,0.0241584
87600,0.954452,0.0105185
88100,0.935346,0.00970971
88600,0.953939,0.00997533
89100,0.954444,0.0105104
89600,0.945703,0.0012556
90100,0.932863,0.0123383
90600,0.943411,0.00117159
91100,0.950582,0.00642084
91600,0.929279,0.0161328
92100,0.949251,0.00501169
92600,0.92595,0.0196575
93100,0.949108,0.004861
93600,0.940769,0.00396812
94100,0.949543,0.00532108
94600,0.945,0.000511176
95100,0.947035,0.0026654
95600,0.959686,0.0160601
96100,0.945234,0.00075906
96600,0.959441,0.0158005
97100,0.929938,0.0154354
97600,0.938268,0.00661581
98100,0.949725,0.00551349
98600,0.945183,0.000704455
99100,0.932785,0.0124213
99600,0.944187,0.00034985
