N,ApproxArea,RelativeError
100,1.0309,0.0914571
600,0.923867,0.0218636
1100,0.969445,0.0263926
1600,0.95485,0.0109398
2100,0.96491,0.0215902
2600,0.9438,0.000759315
3100,0.932226,0.0130134
3600,0.969872,0.0268444
4100,0.928676,0.0167721
4600,0.953013,0.00899492
5100,0.945406,0.0009409
5600,0.94127,0.00343831
6100,0.956097,0.0122597
6600,0.949729,0.00551774
7100,0.950923,0.00678161
7600,0.940841,0.00389236
8100,0.935133,0.00993508
8600,0.946203,0.00178536
9100,0.954386,0.0104482
9600,0.946752,0.00236618
10100,0.943053,0.0015497
10600,0.948792,0.00452541
11100,0.943964,0.000585719
11600,0.938096,0.00679871
12100,0.94626,0.00184554
12600,0.93956,0.00524889
13100,0.943304,0.00128464
13600,0.953607,0.00962414
14100,0.952513,0.00846526
14600,0.942464,0.00217339
15100,0.940916,0.00381284
15600,0.945317,0.000846444
16100,0.934224,0.0108982
16600,0.941615,0.0030726
17100,0.947092,0.00272587
17600,0.94832,0.00402668
18100,0.93809,0.00680467
18600,0.944128,0.000411524
19100,0.94755,0.00321124
19600,0.947866,0.00354534
20100,0.937151,0.00779863
20600,0.947467,0.00312257
21100,0.934546,0.0105569
21600,0.947652,0.0033188
22100,0.940359,0.00440263
22600,0.947821,0.00349767
23100,0.949692,0.00547901
23600,0.939955,0.00483009
24100,0.95741,0.0136497
24600,0.939255,0.005571
25100,0.948353,0.0040607
25600,0.946268,0.00185363
26100,0.936946,0.00801555
26600,0.942588,0.00204254
27100,0.937482,0.00744814
27600,0.949584,0.00536451
28100,0.945919,0.00148401
28600,0.946636,0.00224366
29100,0.948375,0.00408397
29600,0.950853,0.00670839
30100,0.942526,0.00210824
30600,0.945792,0.00135021
31100,0.942161,0.00249415
31600,0.938645,0.00621686
32100,0.935344,0.00971212
32600,0.946711,0.00232273
33100,0.94686,0.00247992
33600,0.936139,0.00887003
34100,0.945508,0.00104893
34600,0.948305,0.00401023
35100,0.944859,0.000362167
35600,0.950245,0.00606452
36100,0.945698,0.00124995
36600,0.95074,0.00658882
37100,0.939294,0.00553022
37600,0.951569,0.00746593
38100,0.952743,0.00870906
38600,0.940008,0.00477431
39100,0.941991,0.00267426
39600,0.950924,0.00678289
40100,0.941722,0.00295944
40600,0.942362,0.00228145
41100,0.939245,0.00558161
41600,0.949203,0.0049612
42100,0.938693,0.00616669
42600,0.943187,0.00140873
43100,0.947184,0.0028237
43600,0.946516,0.00211653
44100,0.939195,0.00563433
44600,0.945225,0.000749749
45100,0.951609,0.00750803
45600,0.944955,0.000463114
46100,0.945484,0.00102309
46600,0.945239,0.000764728
47100,0.94762,0.00328503
47600,0.945015,0.000527413
48100,0.943484,0.00109411
48600,0.944487,3.14842e-05
49100,0.947605,0.00326886
49600,0.948104,0.00379712
50100,0.94613,0.0017077
50600,0.957188,0.0134151
51100,0.939422,0.00539478
51600,0.938343,0.00653685
52100,0.943416,0.00116615
52600,0.944504,1.3566e-05
53100,0.940862,0.00386974
53600,0.942459,0.00217933
54100,0.944932,0.000438962
54600,0.942531,0.00210291
55100,0.944008,0.000539496
55600,0.943816,0.000741986
56100,0.940345,0.00441735
56600,0.94631,0.00189858
57100,0.938172,0.00671794
57600,0.947075,0.00270788
58100,0.945527,0.00106952
58600,0.939305,0.00551787
59100,0.943798,0.000761644
59600,0.942685,0.00193939
60100,0.944319,0.000209685
60600,0.944197,0.000339138
61100,0.941034,0.00368775
61600,0.943437,0.00114362
62100,0.943733,0.000830239
62600,0.946994,0.00262223
63100,0.944472,4.82295e-05
63600,0.949854,0.00565074
64100,0.945161,0.000681466
64600,0.942947,0.00166269
65100,0.946011,0.00158114
65600,0.947585,0.00324809
66100,0.9419,0.00277076
66600,0.943228,0.00136483
67100,0.944738,0.000233473
67600,0.946825,0.00244338
68100,0.942057,0.00260457
68600,0.944552,3.7211e-05
69100,0.950387,0.00621413
69600,0.948731,0.00446138
70100,0.945074,0.000589562
70600,0.944796,0.000295378
71100,0.949395,0.00516428
71600,0.945503,0.0010438
72100,0.945251,0.000777403
72600,0.941046,0.00367508
73100,0.945383,0.000916423
73600,0.946033,0.00160444
74100,0.944461,5.90592e-05
74600,0.945041,0.00055432
75100,0.948358,0.00406621
75600,0.941795,0.00288212
76100,0.943713,0.000851555
76600,0.942252,0.00239802
77100,0.945348,0.000879469
77600,0.944984,0.000494667
78100,0.950144,0.00595685
78600,0.945002,0.000513735
79100,0.947618,0.00328278
79600,0.9464,0.00199341
80100,0.948341,0.00404851
80600,0.94531,0.000839044
81100,0.950484,0.00631768
81600,0.94495,0.000458498
82100,0.945803,0.00136139
82600,0.939198,0.00563158
83100,0.952359,0.00830217
83600,0.946077,0.00165097
84100,0.945677,0.00122749
84600,0.941746,0.00293449
85100,0.941674,0.00301067
85600,0.944248,0.000284984
86100,0.94163,0.00305645
86600,0.944312,0.000217351
87100,0.946691,0.00230156
87600,0.946979,0.00260618
88100,0.943005,0.00160138
88600,0.939762,0.00503443
89100,0.946685,0.00229464
89600,0.94442,0.000103391
90100,0.939066,0.00577136
90600,0.944964,0.000472729
91100,0.945862,0.00142383
91600,0.939906,0.0048824
92100,0.941776,0.00290232
92600,0.941053,0.00366811
93100,0.942751,0.00186957
93600,0.944793,0.000292075
94100,0.937348,0.00758994
94600,0.940737,0.00400236
95100,0.946684,0.00229445
95600,0.942422,0.00221774
96100,0.945362,0.000894901
96600,0.940032,0.00474878
97100,0.947201,0.00284106
97600,0.942833,0.00178313
98100,0.948106,0.0037991
98600,0.947394,0.00304593
99100,0.94403,0.000516264
99600,0.941479,0.00321632
